,level,text
421,1 - Low,never really cared white everyone told i'm supposed hate refuse hate people hate hating i'm gonna hate love
422,1 - Low,🇺🇸 black men teens became extremely violent hooters plano texas girl recording says chocolate bar
423,2 - Mid,nordic frontier 243： def con 3 jews low res
424,2 - Mid,activist placed nearly dozen stickers along nature trails new jersey nothing save people part problem time take action join messaging admin
425,1 - Low,lefty companies brainwashing children lgbt propaganda 🧐👎
426,1 - Low,can't 'normies' see power jews wield right front face people see course see difference blind think censorship done righteously people aware methodically inundated holocaust propaganda duration lives people aware they've conditioned believe jews need deserving special protection collective criticism would use protection nefariously see censorship happening they're impression carried good faith see strong arming nefarious whenever opportunity help understand used positions create climate victimhood power currency simultaneously asserting oppressed people planet create environment thrive even need actual ownership direct authority positions order heavily influence media decisions simply need appeal identity politics govern media proxy use censorship authority persecute whites oppress dissent importantly silence anyone trying expose dynamic would much fruitful spent time breaking power dynamic opportunity instead autistically screeching kanye west getting locked instagram criticizing petty example dime dozen fail set alarm bells minds average person understand true intent behind
427,2 - Mid,white lives matter activists british columbia took part initiatives' monthly day action let opportunity awaken people go waste tribe train white man
428,2 - Mid,stop white genocide people replaced nation attack overrun bred invaders 3rd world pennsylvania held successful prowhite event today
429,1 - Low,white lives matter ok white stop afraid say
430,1 - Low,i'm afraid
431,4 - Very High,get involved fight white genocide today coming state's public chat telegram saying vet also follow us instagram twitter
432,1 - Low,wont see skybbc gb news matter antiwhite
433,1 - Low,term ‘racial trauma grieving term psychologists use describe process grief typically follows racebased loss cultural idiom racial trauma grieving experienced white people white racial trauma grieving whiteracialtraumagrieving
434,1 - Low,
435,1 - Low,
436,1 - Low,timeline 120 jewish media controls many things there's specifically jewish media power bought black voice haven't' able buy voice blackball threaten people interview shut stadiums they've done years
437,1 - Low,kanye making show guys he's j's rather focus real stuff much we're accomplishing right activism greater ever people waking forget entertaining loser negroid
438,1 - Low,kanye making show guys he's j's rather focus real st viking nobody saying hes guy cant picky somebody size platform naming jew take win find way capitalize
439,3 - High,they're trying edge horrific kidnapping rape murder 12yr old lola daviet hands algerian savages public sight keep name image forefront many europe's children must sacrificed altar name multiculturalism europeans force change justiceforlola
440,3 - High,pfizer ceo albert bourla arrested charged fraud deception crimes humanity parasite made billions lies untold numbers dead injured lies
441,1 - Low,liars come canada incompetent ignorant health officials join ➣
442,1 - Low,join➣
443,1 - Low,truth vaccine damage schoolchildren
444,1 - Low,red wave 🚨 red october army started panic dc deep state beginning big war>>> classified information published soon red october enjoy show
445,4 - Very High,they've got paying life debt printed put jobs keep working never move forward make work month save bank invests money make richer fill mind worry woes make fight one another beliefs colour creed open eyes caught pantomime time revolution refuse play part take control lead freedom find peace
446,2 - Mid,alex salmonds alba party promotes african future scotland patriotic alternative says true scots new scots stand us great replacement people traitorous politicians land care playyourpart orguk
447,1 - Low,antifablmimigrants antifa flag mimic nazis soros behind everything want destroy america succeed control great awakening 💥🐸🇺🇸 share join »
448,1 - Low,daughters europa many antiwhite women haters come channel assume worst i'm attacking white men etc case want white men fight back take back rightfully duty defend protect lands anyway video perfect example show really want white nations 🤍
449,1 - Low,robert jay matthew's last speech call aryan greatness
450,1 - Low,obiden administration absolutely ruthless exposed sooner later ultramaga whitehats wewontgetfooledagain
451,1 - Low,globalism control ukgovernment using markets threat economic collapse truss forced walk back growth brexit fail trump needs come back whitehats need arrest globalists worldfreedom grave risk
452,1 - Low,taking sides war something nationalist supporting people ukraine fine governments jewish sad waste white lives
453,1 - Low,i've said long time message pro white wake majority people focus energy waking people jewish power well effective truth right anyone see naturally world go back previously multicultural catastrophe left understand racial problems never disappear crime stats iq stats speak every races nature different mean hate end integration certainly lost cause look atlantadetroitchicagomilwaukee even white liberals leave hell holes time unconsciously talk jewish power sinks right core post
454,1 - Low,well never survive silent openly racialist break law example supreme name jew tell black black racialists mix races created willing segregation
455,1 - Low,thomas sewell amazing well spoken man courage strength takes able speak truth criticism true hero believe i'm absolutely blown away well articulated hail sewell
456,1 - Low,looks like kanye's posts ripple affect black america waking jewish influence least unfortunately apparent altruistic nature european race exploited jews take time whites longer afraid calling poem saxon began hate seems true days go
457,1 - Low,hail never let inner child mind limitless abilities demoralized jewish society hail european mind overcomes obstacles long fighting
458,4 - Very High,continue nothing listen read betraying country people selfish coward traitor children grandchildren…if dont something dont deserve live recent poll gab showed people fully race pilled jpilled 8 involved irl activist group william luther pierce
459,1 - Low,confirmed fake jewish bullshit posted next door concerned citizens checked st john's county sherrifs office never happened also received several similar calls made event wonder else jews made
460,4 - Very High,people waking jq astounding rate self sacrifice triumph every action take must benefit coming man path forward paved europeans willing accept reality easy path forward need people understand europeans versus world thomas sewell says nothing new stars he's right struggle old time divorce idea hardship spiritual suicide people become fat weak retarded taking easy path lead us wreck ruin best advice become savage untamable beast become aryan rabi warned create strong network child bearing aryans watch lose minds grow food heads explode expanding european identitarianism key
461,1 - Low,new york subway stabbing guess live like
462,1 - Low,jews google hard work innocently going contents private drive erasing kanye's existence
463,1 - Low,massachusetts 131 activists marched demonstrated site recent blatant antiwhite attack black female named rakeima norris children also demonstrated outside quincy police headquarters raise awareness demand hate crime charges rakeima norris activists confronted 2 individuals one brandishing pair scissors despite received overwhelming local support gabcomnewengland131
464,2 - Mid,patriotfront activists network 6 placed posters winder georgia
465,1 - Low,might amused kanye's lastest antics believe upset might lead good things white people reminder never rely help outsider always first foremost rely resources promote heroes hail victory
466,1 - Low,video black criminals run wild lax law enforcement here's
467,1 - Low,justiceforlola
468,1 - Low,chants immigrant murderer echo streets lyon tonight nationalists rise following kidnapping suspected rape murder 12yr old lola daviet hands algerians
469,1 - Low,🇺🇸🚨 governor alabama said alabama never mandate covid vaccine kids cdc decided mandate covid vaccine school children
470,1 - Low,feral invaders pick fight white englishmen club escalate grabbing heavy barriers attacking white men believe something incredibly heavy unwieldy make great weapon white men beat main invader unconcious send others running another example happens white unity
471,2 - Mid,brittney c cooper plainfield nj age 42 2022 ms cooper professor gender studies africana studies rutgers university well known stated white people villains need take motherfus also celebrating declining white birth rates danger students raging antiwhite racist rutgers university number 8489327896 ms coopers office number email 8489328427 brittneyedu
472,2 - Mid,another dedicated activist pasted stickers new jersey people willing stand tyranny face even fewer willing take drastic steps least put stickers fliers time time
473,1 - Low,british school
474,1 - Low,potent weapon used white people white guilt makes feel like deserve every injustice visited upon cannot get job vilified attacked even murdered race somehow fault
475,1 - Low,21 year old victim assault attempted rape hesitant call police attacker black
476,2 - Mid,everywhere france french people mobilized denounce atrocious killing lola illegal algerian migrant white people world put foots make stand repeated attacks lands
477,1 - Low,joe biden wants ethniceuropean americans replaced
478,1 - Low,degenerate karens reactions can't destroy kids brains early lgbtsatanicbullshitgender changing propaganda
479,1 - Low,jewish globalists discuss subvert destroy poland
480,1 - Low,net migration britain reportedly pace breach 300000 year increasing quarter last year result boris johnsons postbrexit migration plan opened doors millions come united kingdom 😡
481,1 - Low,hispanic invasion united states full swing future democrat voters course 👎🇺🇸
482,1 - Low,one day many years look beautiful white grandchildren eye tell story freed people jewish tyranny subjugation day every bit pain suffering going worth
483,1 - Low,diversity looks people eyes see🤮
484,1 - Low,hitler hero
485,2 - Mid,atomwaffen division training
486,1 - Low,i'm hometown one invaders drugged raped 3 women one man nothing news best rock immigrant boat people might wake fact rapists undesirables among 'poor immigrants'
487,1 - Low,downtown mogadishu sorry actually paris illegal migrants demand free stuff
488,1 - Low,meanwhile holiday inn housing illegal economic migrants 👀
489,1 - Low,oh vey
490,1 - Low,jews cancer white nationalism answer
491,3 - High,degenerate satan worshiping jews exposed raping kids ny jews dont want know satan worshiping degenerates tell victims go rabbi depravity 👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻
492,1 - Low,must secure existence people future white children 🤍❄️
493,4 - Very High,time white men fought fists swords afraid anything mighty fearless courageous took shit invaders courageous men ancestors blood fight race nation heritage culture people love destiny white men show fear show mercy
494,1 - Low,lola 12 years old victim immigration neither forget forgive lola 12 years old raped killed algerians french women men fighting back getting justice lola badly tortured raped killed nonwhite invaders
495,1 - Low,anti white traitors occupy levels facets governments local councils rife traitor parasites well versed university taught marxist theory calls complete destruction nation's heritage traditions culture never stop pushing battle one inches another attempts destroy heritage nation say political solution institutions completely overrun corrupted jews antiwhites traitors success trying change infiltrate institutions solution instead metapolitical found building institutions power white power
496,1 - Low,need 'white people' wake slumber need aryans remain rise without rest victory death
497,4 - Very High,organizers protest eugene oregon oppose bar hosting drag event 11 year old girl performing pedophiles groomers threatened violent leftists make go drag show starts 11am tomorrow anti fascists reportedly showing 10am protect groomers pedophiles hosting attending event
498,4 - Very High,ever time torches pitchforks time
499,1 - Low,scottish kids whitegenocide greatreplacment work
500,1 - Low,great replacment longer conspiracy theory
501,1 - Low,diversity white genocide pure simple
502,1 - Low,diversity means chasing whites diversity code word white genocide
503,1 - Low,diversity white genocide 😉
504,2 - Mid,borders race exist reason prevent chaos see today let's rekindle folk's flame today xiv join wlm ny chat contact begin vetting wlm
505,2 - Mid,appears antiwhite blm waukesha terrorist darrelbrooks end rope waukeshaparade waukeshamassacre whitelivesmatter
506,2 - Mid,latestage multiculturalism white south africa looks like want children live like take stand
507,1 - Low,migration invading army men prime
508,1 - Low,army stop invasion
509,1 - Low,⚠️ another migrant hotel city hull ⚠️ britain first visited dorchester hotel film report found migrants waving camera tmebritainfirst 26226
510,1 - Low,anti white racism captured video
511,2 - Mid,couple newcomers come train weekend waiting reach join best west dm email com gab
512,1 - Low,origins kike
513,1 - Low,multiculturalism immigration end there's white people
514,1 - Low,leonie 🇦🇹 stefie 🇩🇪 victorine 🇫🇷 maria 🇩🇪 desirée 🇮🇹 pamela 🇮🇹 wilma 🇸🇪 lola 🇫🇷 died hands people
515,2 - Mid,patriotic alternative gets white lives built britain visible newspaper stands throughout scotland usual smears deliberately alarmist language daily record reported successful second annual pa scotland conference although claim first normal smears aside stirling mp alyn smith desperately trying sound like man people quote bams abused hospitality ultra hate fest daft wee stunt cheers alyn want speak abused hospitality look thousands people importing housing homeless native scots go hungry join fun linktreepataltscotland
516,1 - Low,another jewish media host wondering uptick antisemitismmeanwhile hates white people jews white btw claim claim either
517,1 - Low,mass illegal immigration hands jew ngo groups
518,1 - Low,biden dont jewish zionist jew lapdog biden speaking please degenerate masters jews masters deception degeneracy nothing else
519,1 - Low,> user2020 📹 covid 'vaccine' done away 20 millon people worse ww2 666 system covid 'vaccine' done away 20 millon people worse ww2 666 system > dna nationalism 📹 video
520,1 - Low,gee almost like kikes blacks around paradise
521,1 - Low,antichristian codeword antiwhite
522,1 - Low,jewish privilege world biggest pedophile jew call gods chosen people godless creatures push degeneracy open borders many lolas paki grooming gangs white children jew allowed get away sick plan 👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻
523,1 - Low,nothing ridiculous jew academic couldnt even get job hillsdale lol jewton mass talking redblooded americans want literally werent even born youre gay
524,1 - Low,share far wide can't share image type every comment section creating cult personality around black celebrity leveraging celebrity apoplectic jewish outrage create cult antisemitism fixated jewish problem jewish problem whose primary objective millennia convince masses problem exist problem really everyone else
525,2 - Mid,islamic state west african wilayah grace allah almighty soldiers caliphate detonated explosive device patrol apostate nigerian army road sabun gari wajiroko towns borno region day yesterday resulted destruction armored vehicle killing wounding board praise allah almighty
526,2 - Mid,islamic state west african wilayah grace allah almighty soldiers caliphate able capture 3 members militias loyal apostate nigerian army krinwa area borno day yesterday interrogation killed pistol shots praise allah almighty
527,2 - Mid,islamic state west african wilayah grace allah almighty soldiers caliphate set ambush convoy apostate nigerian army road katafila maraba towns borno region yesterday targeted various weapons resulted killing one injury others praise allah almighty
528,2 - Mid,islamic state iraq wilayah – karkuk pictures caliphate soldiers target gathering vehicles apostate federal police near suhail village south daqouq mortar
529,2 - Mid,islamic state central african wilayah pictures attack caliphate soldiers christian maboya village beni – butembo road eastern congo
530,2 - Mid,islamic state sinai wilayah grace allah almighty soldiers caliphate targeted member apostate mossad militias south bir al‘abd city last thursday automatic weapons resulted death praise allah almighty
531,2 - Mid,islamic state sham wilayah – barakah grace allah almighty soldiers caliphate detonated explosive device vehicle apostate pkk ​​the road maysara town yesterday resulted disabling injury member board praise allah almighty
532,2 - Mid,islamic state sinai wilayah grace allah almighty soldiers caliphate targeted member apostate mossad militias south bir al‘abd city last thursday automatic weapons resulted death praise allah almighty
533,2 - Mid,excerpt alnaba issue 356
534,2 - Mid,◾book refutaion misleading fatwa almaqdisi legitimizing kufri agreement taliban kuffar
535,1 - Low,existence people negotiable ⚡ never ever surrender never ever feel white guilt never lose hope race first 🤍
536,1 - Low,nonwhite victim mentality boring 🥱 go back countries nobody cares
537,1 - Low,empire state reclaimed whites eventually boroughs jew york city kike infested large cities college towns upstate ny freed misery insanity brought upon fair whites upstate ny jewish plague jew york vanquished union square ny back blood sweat finest white sons new york ever produced neighboring states new england pennsylvania new jersey center jewish power america neutralized soon afterwards rest united states liberated restored white man's country nordics reign supreme new york clear nonwhite infestation black plague jews wrought upon people ruining land swimming back africa asia latin america fast
538,1 - Low,christian nationalism conquered jews hindus muslims take pick christian man
539,4 - Very High,behalf aryan freedom network president afn dalton henry stout filed lawsuit known antifa organizations called sparverius llc task force butler ceo kristofer goldsmith trespass drone private property invasion privacy private gathering organizations called sparverius llc task force butler known behind spying doxing multiple prowhite patriotic anticommunist organizations across country heavily funded wealthy leftwing individuals organizations important legal battle movement clear lawyer representing case firm members aryan freedom network affiliation afn us white nationalist constitutional rights state laws protect even white people cannot allow antifa commies keep getting away breaking law without consequences afn asking everyone regardless like us help us legal battle freedom white people america putting fight wish destroy us please share support message everyone across movement would like help donating legal fund please contact us whitepowerorg mail donation dalton henry stout po box 97 dekalb tx 75559 may victory
540,4 - Very High,jew jew we're coming
541,1 - Low,' wasnt wrong said jewish media different media companies jewish people red kanyeisright mora1lygr3y
542,1 - Low,kanye got jews break contracts aint heavy shit idk else mane damn mastermind cancel order get outta satanic ass contracts finally longer slave kanyeisright 🔥🔥🔥🔥
543,1 - Low,make mathematical sense politician needs backing jewish vote less 2 population even 80 turn vote make difference reason kanyeisright
544,1 - Low,polls backfire
545,1 - Low,> resistance england 📹 netherlands government hired cruise liner accommodate migrants local migrant reception centre overcrowded migrants filming live luxury eat buffet liner spend six months port amsterdam 🇳🇱😮 netherlands government hired cruise liner accommodate migrants local migrant reception centre overcrowded migrants filming live luxury eat buffet liner spend six months port amsterdam 🇳🇱😮 > resistance england 📹 imagine kid german classroom cartoon porn ok apparently imagine kid german classroom cartoon porn ok apparently
546,1 - Low,funny thing kanyeisright situation called jews wiggling fingures asses sambos get say something kanye lets watch see hollweird hookers come im sure pressure jayz
547,4 - Very High,tweet fissato gdl jewish supremacy threat must crushed weve developed innovative strategies fight antiwhite hatred airwaves internet schools throughout communities help us continue fight hate good
548,1 - Low,guide rich america 1 hate white people pay 2 tell black people gangbanging cool get abort pay 3 question anything jewish take everything close bank account get
549,1 - Low,' may allah give us guidance forgiveness peace warning u might meet lot muslims say islamic state represent islam r muslims want please world rather punish atrocities committed muslim children
550,1 - Low,openly admitted vaccine killed people year gun violence yet hear nothing banning cucks
551,1 - Low,commies come guns i'm going followers
552,1 - Low,top 5 ways identify jew jewish crypsis 101 name change jewish crypsis 102 nose job jewish cryptojewish surnames list controls 2022 always name jew coincidence detector ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ 1
553,1 - Low,always keep country safe uncivilized invaders chads💪
554,1 - Low,learn types fake whites betray race
555,1 - Low,people redpilled every corner jews secret cabal elite running world
556,1 - Low,✡️ rabbi norman lamm admitting jews always controlled mainstream media modern academia admits jews responsible pushing society towards liberalism — code lgbtq pornography degeneracy racemixing predatory government financial corruption feminism destruction nuclear family holy virtue culture please share ive posted many examples rabbis admitting scroll look please send friends raise awareness become aware defend become free
557,1 - Low,> european defence 5 📹 ✡️ video proves jews responsible massimmigration white countries commit white replacement 🙎🏿‍♂️🙎🏾‍♀️👶🏾 mountain evidence prove ✡️ video proves jews responsible massimmigration white countries commit white replacement 🙎🏿‍♂️🙎🏾‍♀️👶🏾 mountain evidence prove > european defence 5 📹 hitler liberated germany financial trap ✡️ jews put hitler liberated germany financial trap ✡️ jews put
558,1 - Low,hitler liberated germany financial trap ✡️ jews put
559,1 - Low,people power arent jewish✡️ need look associations affiliations often many jews connected controlling power big jewish political lobbies behind scenes checking early life wikipedia isnt enough
560,1 - Low,twisted neck kuffar much became murtad madness
561,1 - Low,whallahi dirty murtad make tawbah matter ethnic group one belongs supporting kuffar muslims kufr akbar takfir afars amhara etc etc islam ethnic group make tawbah come back islam
562,1 - Low,murtad rulers extent please kuffar loan extension quote tweet rizwan najam · aug 19
563,1 - Low,kuffar together murtad allies feasting muslims fell propaganda picked sides forgetting matter victims posterity judge us doubt would kind
564,1 - Low,murtad kaffir may allah curse kuffar
565,4 - Very High,government nationalist kuffar apostate dont accept shoria part mujahedin
566,1 - Low,murjiah maldives like agents apostate government turning muslims apostates kuffar even western countries
567,1 - Low,students questioning jew teachers lol
568,1 - Low,today jews
569,4 - Very High,unfortunate truth europa gets slowly taken jews zionists invaded nonwhites beautiful european architecture buildingscastlesculture traditions etc get destroyed european men fighting back like ancestors we're allowing jewish governments destroy everything ancestors built enough enough us left maybe none us alive even fight back 😔 say i'm blackpilling i'm sort honest i'm sick surrounded brainwashed morons people white 🤬
570,2 - Mid,amaq agency islamic state 📰 dozens iranian shi'ites killed wounded attack islamic state shi'ite shrine southern iran amaq agency iran fars dozens iranian shi'ites killed wounded armed attack islamic state fighters southern iran security sources islamic state told amaq agency islamic state fighter opened fire called shah cheragh shi'ite shrine shiraz city far region southern iran ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
571,2 - Mid,amaq agency islamic state 📰 dozens iranian shi'ites killed wounded attack islamic state shi'ite shrine southern iran amaq agency iran fars dozens iranian shi'ites killed wounded armed attack islamic state fighters southern iran security sources islamic state told amaq agency islamic state fighter opened fire called shah cheragh shi'ite shrine shiraz city far region southern iran according sources fighter began attack targeting number iranian policemen guards shrine killing wounding many sources added fighter raided square shi'ite shrine began opening fire rifle towards crowds shi'ites inside killing wounding close 20 injuring dozens others mentioned islamic state fighters carried fierce attack several years ago military parade iranian forces ahvaz city southwestern iran killing injuring dozens ranks ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam
572,2 - Mid,🔴 breaking islamic state iran dozens rafidi mushrikin killed injured inghimasi attack shirki shrine shiraz city southern iran success allah inghimasi khilafah soldier raided shirki shah cheragh shrine shiraz city southern iran targeted crowds rafidhi mushrikin inside shrine using machine gun killing wounding dozens praise due allah let rafidi mushrikin know sahabah may allah pleased descended progeny inherit revenge generation generation allah's permission ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊 ▪️◽️◾️◽️
573,2 - Mid,islamic state sham wilayah khayr success allah khilafah soldiers attacked barracks pkk murtaddin water treatment plant arruz village albasirah area yesterday using machine gun fire killing member praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
574,2 - Mid,islamic state sham wilayah khayr success allah khilafah soldiers attacked barracks pkk murtaddin water treatment plant arruz village albasirah area yesterday using machine gun fire killing member praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
575,2 - Mid,🔴 breaking islamic state somalia wilayah success allah khilafah soldiers detonated explosive device explosive expert crusader african transmission atmis afgooey city wounding praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
576,2 - Mid,🔴 breaking islamic state iraq wilayah karkuk success allah khilafah soldiers targeted foot patrol murtadd rafidah army near village attar south daquq using machine gun fire killing 2 wounding third one seizing 2 rifles ammunitions ghanimah praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
577,2 - Mid,🔴 breaking islamic state west africa wilayah success allah khilafah soldiers targeted gathering murtadd nigerian police town damboa borno area 3 mortar shells praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
578,1 - Low,attention niggers ask antiwhites niggershow justify whitegenocide initial message make visible
579,1 - Low,' bush idiots destroying america nigger presidents destroying even vote antiwhites niggers
580,1 - Low,wakey wakey people
581,1 - Low,ppl believe writing…the ultimate plan everyone else
582,1 - Low,tldr political system degenerate corrupt layer astroturfing jews hide behind control bribes blackmail
583,1 - Low,jews always projected sins whites blame whites everything actually appears people actually recognizing always jews responsible
584,1 - Low,jews making ye disstracks terrible need ‘celebrities come forward truth
585,1 - Low,jews support abortion countries hate
586,1 - Low,world ecommunist forum✡️ pushes marxists ready decaydestroy country
587,1 - Low,staring strangers cock screen makes dangerous alt righter next headline say men watch porn anti semetic nazis reason porn weapon humanity destructively rewires brain porn industry almost entirely run jews degenerates stop
588,1 - Low,brutal panic jews homosexual degenerate movement decided stop watching porn watch going bonkers calling everyone racist stops watching porn😁
589,1 - Low,jews destroyed world pornography coincidence 90 porn industry worldwide owned
590,1 - Low,name jew
591,1 - Low,hitler tried make right
592,1 - Low,shekel grabber music
593,1 - Low,christianity satanism jewsaresatan
594,1 - Low,jewsaresatan
595,1 - Low,want know increase immigrants directly related lower wages shipallimmigrantsback
596,1 - Low,degenerate jewish movement trying normalize rape foreign invaders
597,2 - Mid,🔴 breaking islamic state khurasan wilayah 📰 10 taliban militiamen killed wounded attack bus transporting herat success allah one khilafah soldier inghimasis attacked bus transporting members murtadd taliban militia 15th district herat area using machine gun fire hand grenades disabling bus killing wounding least 10 mujahidin returned safely positions praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
598,2 - Mid,islamic state central africa wilayah success allah khilafah soldiers attacked christian village sumi road two towns mambasa biakato ituri area last saturday killing christian using machine gun fire burning 5 vehicles 4 motorcycles several christian houses congolese army support force arrived mujahidin clashed using machine gun fire forcing flee praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
599,2 - Mid,nabaed361pdf 2154 kb 🔻▪️🔻 nabaen islamicstate naba361 halummu 🔺english translation annaba 361 editorial titled🔻 📜 sahawat sham conflict interests ▪️png ▪️pdf ——— ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
600,2 - Mid,🔻▪️🔻 nabaen islamicstate naba361 halummu 🔺english translation annaba 361 infographic🔻 📈 indeed belong allah indeed return ——— ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin
601,2 - Mid,nabaen islamicstate naba361 halummu 🔺english translation annaba 361 infographic🔻 📈 harvest soldiers week 17th 23th rabi' alawwal 1444 ah ——— ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
602,2 - Mid,> 🔈updates kw 💬 🖼 🔻 ▪️ 🔻 naba 362 infographic islamic state 📜 harvest soldiers week 24th rabi alawwal 1st rabi alakhir 1444 ah 🔻 ▪️ 🔻 naba 362 infographic islamic state 📜 harvest soldiers week 24th rabi alawwal 1st rabi alakhir 1444 ah > 🔈updates kw 💬 🖼 🔻 ▪️ 🔻 naba 362 infographic islamic state 📜 glorify commands prohibitions 🔻 ▪️ 🔻 naba 362 infographic islamic state 📜 glorify commands prohibitions
603,2 - Mid,naba 362 infographic islamic state 📜 glorify commands prohibitions
604,2 - Mid,amaq agency 🎥 amaq agency video featuring attacking bus transporting taliban militiamen islamic state fighter 2 days ago herat city western afghanistan 29102022 360p ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
605,2 - Mid,🔴 breaking islamic state iraq wilayah karkuk success allah khilafah soldiers detonated explosive device fourwheel drive vehicle murtadd federal police near village albusayf arriyad area disabling vehicle killing wounding praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
606,2 - Mid,amaq agency 🎥 amaq agency video featuring bayah inghimasi abu ‘aishah al‘umari carried attack shah cheragh shi'ite shrine shiraz city far region southern iran islamic state 29102022 1080p ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
607,2 - Mid,photo report islamic state iran 📷 photo featuring inghimasi brother abu ‘aishah al‘umari may allah accept carried attack shirki shrine shiraz city southern iran ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
608,2 - Mid,maq agency 🎥 amaq agency video featuring attacking bus transporting taliban militiamen islamic state fighter 2 days ago herat city western afghanistan 29102022 1080p ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
609,1 - Low,message sponsored coalition election integrity rwds
610,1 - Low,know 'she' jewish know hate jews 🙄
611,2 - Mid,white girls shout white lives matter 🤍⚡
612,4 - Very High,white race superior rest superior wrong think born white automatically become taller others way stronger perfect yes ancestors left us huge potential potential achieved sweat blood constant volitional tension constant struggle ancestors struggle blood flows like stream river eternity assert superiority die
613,2 - Mid,hate white man
614,2 - Mid,stickers public parks gotta keep action 👌
615,4 - Very High,> wlmusanewjersey 🛑announcement🛑 want activism want brotherhood likeminded people want change things stand injustice get started today nj contact admin find hard pressed make headway country people think willing take leap say cowards people free nation one day slaves forever choice > wlmusanewjersey 🖼 another sticker run new jersey stand get let's make group large enough challenge every antiwhute communist rears head fight back new jersey another sticker run new jersey stand get let's make group large enough challenge every antiwhute communist rears head fight back new jersey
616,2 - Mid,another sticker run new jersey stand get let's make group large enough challenge every antiwhute communist rears head fight back new jersey
617,1 - Low,niggersarejewpuppets
618,1 - Low,⚠️ large migrant hotel luton town centre ⚠️ huge icon hotel central luton taken used government house hundreds illegal immigrants
619,1 - Low,illegal immigrants stormed town hall paris today demanding free housing sheer entitlement across many parts western europe natives left rot
620,1 - Low,teachers traumatise children homeschool sons daughters 💊
621,1 - Low,ever see attacks racial order ever hear problem opposite whitelivesmatter
622,1 - Low,thousands homosexual brown men learning longer job twitter dot com
623,1 - Low,european defence 5
624,1 - Low,origins kike
625,1 - Low,point exercise get everyone level truly aware come contact also difference jewish nose roman nose may roman nose everything going absolute sure tell way find indeed good way train observation skills learn may may jew 13 4
626,1 - Low,people call race mixing turn white countries melting pots whitegenocide
627,1 - Low,' picture unlike times history right major victory ahead takes 6 months average normie wake research enough casually solidify knowledge knowing 100 correct trial error study estimate within 6 months time since many speaking well jews see massive awakening i've witnessed already ghost ezra gab coming rest internet mark words 2021 awakening 1 population awake 2022 awakening 45 population right awake 10 fear start leaving people people wakeup rapidly
628,1 - Low,kanye right jews lazernazi
629,4 - Very High,get active become hero
630,1 - Low,kanye west right exgoogle techlead analysis kanye ye west remarks jews high level deadpan trolling video source ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ ᛏ
631,4 - Very High,white youth revolt replacement embrace struggle xiv
632,3 - High,black parasite bullies intimidates white homeless man white alpha chad sees happening confronts black black easily knocked great job sir white unity every opportunity need white people others backs
633,1 - Low,' 88 36 6
634,1 - Low,parasitic jews calling banning prowhite parties running political office sweden basically calling end white swede's ability advocate homelands
635,1 - Low,thenoticing kanyeisright slavery educate blm
636,1 - Low,thenoticing kanyeisright slavery educate blm
637,1 - Low,thenoticing kanyeisright slavery educate blm
638,1 - Low,everyone doesnt get behind youre next remember thegreatreset fucking anyway nearly impossible stand call jewishmafia horrible things done world wide never forget 911
